Current Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Date of Launch,Launch Site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 1M,Luxembourg,Commercial,Communications,,GEO,11/5/2008,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 1N,Luxembourg,Commercial,Communications,,GEO,8/6/2011,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 2A,Luxembourg,Commercial,Communications,,GEO,8/30/1998,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 2C,Luxembourg,Commercial,Communications,,GEO,6/16/2001,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 2D,Luxembourg,Commercial,Communications,,GEO,12/19/2000,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 2E,Luxembourg,Commercial,Communications,,GEO,9/29/2013,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 2F,Luxembourg,Commercial,Communications,,GEO,9/28/2012,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 2G,Luxembourg,Commercial,Communications,,GEO,12/27/2014,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 3A,Luxembourg,Commercial,Communications,,GEO,3/29/2002,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 3B,Luxembourg,Commercial,Communications,,GEO,5/21/2010,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 5B,Luxembourg,Commercial,Communications,,GEO,3/22/2014,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astranis Demosat-2,USA,Commercial,Technology Development,,LEO,1/11/2018,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
