Current Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Date of Launch,Launch Site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou 2-12,China,Military/Government,Navigation/Global Positioning,,MEO,4/28/2012,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou 2-13,China,Military/Government,Navigation/Global Positioning,,MEO,4/28/2012,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou 2-15,China,Military/Government,Navigation/Global Positioning,,MEO,9/18/2012,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou 2-16,China,Military/Government,Navigation/Global Positioning,,GEO,10/25/2012,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou 2-17,China,Military/Government,Navigation/Global Positioning,,GEO,3/30/2016,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou 2-18,China,Military/Government,Navigation/Global Positioning,,GEO,6/12/2016,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou 3I-1S,China,Military/Government,Navigation/Global Positioning,,GEO,3/30/2015,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou 3I-2S,China,Military/Government,Navigation/Global Positioning,,GEO,9/29/2015,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou 3M-1S,China,Military/Government,Navigation/Global Positioning,,MEO,7/25/2015,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou 3M-2S,China,Military/Government,Navigation/Global Positioning,,MEO,7/25/2015,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou 3-M1,China,Military/Government,Navigation/Global Positioning,,MEO,11/5/2017,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou 3-23,China,Military/Government,Navigation/Global Positioning,,MEO,9/22/2019,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou 3-24,China,Military/Government,Navigation/Global Positioning,,MEO,9/22/2019,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou 3-25,China,Military/Government,Navigation/Global Positioning,,MEO,11/5/2017,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou DW 26,China,Military/Government,Navigation/Global Positioning,,MEO,1/11/2018,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou DW 27,China,Military/Government,Navigation/Global Positioning,,MEO,1/11/2018,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou DW 28,China,Military/Government,Navigation/Global Positioning,,MEO,2/12/2018,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou DW 29,China,Military/Government,Navigation/Global Positioning,,MEO,2/12/2018,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou DW 30,China,Military/Government,Navigation/Global Positioning,,MEO,3/29/2018,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou DW 31,China,Military/Government,Navigation/Global Positioning,,MEO,3/29/2018,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou DW 32,China,Military/Government,Navigation/Global Positioning,,GEO,7/9/2018,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou DW 33,China,Military/Government,Navigation/Global Positioning,,MEO,7/29/2018,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou DW 34,China,Military/Government,Navigation/Global Positioning,,MEO,7/29/2018,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou DW 35,China,Military/Government,Navigation/Global Positioning,,MEO,8/24/2018,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou DW 36,China,Military/Government,Navigation/Global Positioning,,MEO,8/24/2018,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou DW 37,China,Military/Government,Navigation/Global Positioning,,MEO,9/19/2018,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou DW 38,China,Military/Government,Navigation/Global Positioning,,MEO,9/19/2018,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou DW 39,China,Military/Government,Navigation/Global Positioning,,MEO,10/15/2018,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou DW 40,China,Military/Government,Navigation/Global Positioning,,MEO,10/15/2018,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou DW 41,China,Military/Government,Navigation/Global Positioning,,GEO,11/1/2018,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou DW 42,China,Military/Government,Navigation/Global Positioning,,MEO,11/18/2018,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou DW 43,China,Military/Government,Navigation/Global Positioning,,MEO,11/18/2018,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou DW 44,China,Military/Government,Navigation/Global Positioning,,GEO,4/20/2019,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou DW 45,China,Military/Government,Navigation/Global Positioning,,GEO,5/17/2019,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou DW 46,China,Military/Government,Navigation/Global Positioning,,GEO,6/24/2019,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou 3 IGSO-3,China,Military/Government,Navigation/Global Positioning,,GEO,11/5/2019,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou DW 50,China,Military/Government,Navigation/Global Positioning,,MEO,11/23/2019,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou DW 51,China,Military/Government,Navigation/Global Positioning,,MEO,11/23/2019,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou DW 52,China,Military/Government,Navigation/Global Positioning,,MEO,12/16/2019,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou DW 53,China,Military/Government,Navigation/Global Positioning,,MEO,12/16/2019,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou DW 55,China,Military/Government,Navigation/Global Positioning,,GEO,6/23/2020,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou G3,China,Military/Government,Navigation/Global Positioning,,GEO,3/9/2020,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou G4,China,Military/Government,Navigation/Global Positioning,,GEO,10/31/2010,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou G5,China,Military/Government,Navigation/Global Positioning,,GEO,2/24/2012,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou IGSO-1,China,Military/Government,Navigation/Global Positioning,,GEO,7/31/2010,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou IGSO-2,China,Military/Government,Navigation/Global Positioning,,GEO,12/17/2010,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou IGSO-3,China,Military/Government,Navigation/Global Positioning,,GEO,4/9/2011,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou IGSO-4,China,Military/Government,Navigation/Global Positioning,,GEO,7/26/2011,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou IGSO-5,China,Military/Government,Navigation/Global Positioning,,GEO,12/1/2011,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing-3,China ,Commercial,Earth Observation,Optical Imaging,LEO,6/11/2021,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BeijinGalaxy-1,China,Commercial,Earth Observation,Optical Imaging,LEO,10/27/2005,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beiyou-1,China,Commercial,Earth Observation,Radar Imaging,LEO,1/15/2023,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belintersat-1,Belarus,Government,Communications,,GEO,1/15/2016,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bispectral InfraRed Detector 2 (Bird 2),Germany,Government/Civil,Earth Observation/Technology Development,Optical Imaging,LEO,10/22/2001,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birkeland ,Norway,Military,Earth Observation,Radar Surveillance,LEO,1/3/2023,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIROS,Germany,Government,Earth Observation,Optical Imaging,LEO,6/22/2016,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BisonSat,USA,Civil,Earth Observation/Technology Development,Optical Imaging,LEO,10/8/2015,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BKA 2,Belarus,Government,Earth Observation,Optical Imaging,LEO,7/22/2012,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackSky Global 1,USA,Commercial,Earth Observation,Optical Imaging,LEO,11/29/2018,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackSky Global 14,USA,Commercial,Earth Observation,Optical Imaging,LEO,11/18/2021,Rocket Lab Launch Complex 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackSky Global 15,USA,Commercial,Earth Observation,Optical Imaging,LEO,11/18/2021,Rocket Lab Launch Complex 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackSky Global 16,USA,Commercial,Earth Observation,Optical Imaging,LEO,12/9/2021,Rocket Lab Launch Complex 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackSky Global 17,USA,Commercial,Earth Observation,Optical Imaging,LEO,12/9/2021,Rocket Lab Launch Complex 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackSky Global 18,USA,Commercial,Earth Observation,Optical Imaging,LEO,4/2/2022,Rocket Lab Launch Complex 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackSky Global 19,USA,Commercial,Earth Observation,Optical Imaging,LEO,3/24/2023,Rocket Lab Launch Complex 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackSky Global 2,USA,Commercial,Earth Observation,Optical Imaging,LEO,12/3/2018,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackSky Global 20,USA,Commercial,Earth Observation,Optical Imaging,LEO,4/2/2022,Rocket Lab Launch Complex 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackSky Global 3,USA,Commercial,Earth Observation,Optical Imaging,LEO,6/29/2019,Rocket Lab Launch Complex 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackSky Global 4,USA,Commercial,Earth Observation,Optical Imaging,LEO,8/19/2019,Rocket Lab Launch Complex 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackSky Global 5,USA,Commercial,Earth Observation,Optical Imaging,LEO,,Rocket Lab Launch Complex 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackSky Global 7,USA,Commercial,Earth Observation,Optical Imaging,LEO,8/7/2020,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackSky Global 8,USA,Commercial,Earth Observation,Optical Imaging,LEO,8/7/2020,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackSky Global 9,USA,Commercial,Earth Observation,Optical Imaging,LEO,3/22/2021,Rocket Lab Launch Complex 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackSky Pathfinder 1,USA,Commercial,Earth Observation,Optical Imaging,LEO,9/26/2016,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2520,Russia,Military/Commercial,Communications,,GEO,8/16/2017,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2526,Russia,Military/Commercial,Communications,,GEO,4/18/2018,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2533,Russia,Military/Commercial,Communications,,GEO,12/20/2018,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2539,Russia,Military/Commercial,Communications,,GEO,8/5/2019,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluewalker 1,Lithuania,Commercial,Technology Development,,LEO,4/1/2019,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluewalker 3,USA,Commercial,Communications,,LEO,9/11/2022,Cape Canaveral,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated
Brazilsat B-4,Brazil,Commercial,Communications,,GEO,8/17/2000,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brik-II,Netherlands,Government,Earth Observation,Signals Intelligence,LEO,6/30/2021,Virgin Orbit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIO,USA,Commercial,Technology Development,,LEO,12/3/2018,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRISat,Indonesia,Commercial,Communications,,GEO,6/19/2016,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRITE-CA-1,Canada,Civil,Space Science,,LEO,6/19/2014,Dombarovsky Air Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRITE-PL-2,Multinational,Government,Space Science,,LEO,8/19/2014,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRO-1,France,Commercial,Earth Observation,Maritime Surveillance,LEO,8/19/2019,Rocket Lab Launch Complex 1,,,,,,,,,,,,,,,,,,,,,,,,http://www.orbcomm.com,http://nssdc.gsfc.nasa.gov/spacewarn/spx554.html,http://perso.wanadoo.fr/eurospace/espdatabase/S1119.html,,,,JMSatcat803,
BRO-2,France,Commercial,Earth Observation,Maritime Surveillance,LEO,11/20/2020,Rocket Lab Launch Complex 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRO-3,France,Commercial,Earth Observation,Maritime Surveillance,LEO,11/20/2020,Rocket Lab Launch Complex 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRO-4,France,Commercial,Earth Observation,Maritime Surveillance,LEO,8/17/2021,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRO-6,France,Commercial,Earth Observation,Maritime Surveillance,LEO,5/2/2022,Rocket Lab Launch Complex 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRO-7,France,Commercial,Earth Observation,Maritime Surveillance,LEO,4/1/2022,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRO-8,France,Commercial,Earth Observation,Maritime Surveillance,LEO,1/3/2023,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRO-9,France,Commercial,Earth Observation,Maritime Surveillance,LEO,4/15/2023,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brokkr-1,United Kingdom,Commercial,Technology Development,,LEO,4/15/2023,Vandeberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSAT-3A,Japan,Commercial,Communications,,GEO,8/14/2007,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSAT-3B,Japan,Commercial,Communications,,GEO,10/28/2010,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSAT-3C/JCSat 110-R,Japan,Commercial,Communications,,GEO,8/6/2011,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSAT-4A,Japan,Commercial,Communications,,GEO,9/29/2017,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSAT-4B,Japan,Commercial,Communications,,GEO,8/15/2020,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneer RMM,Australia,Military/Civil,Technology Development,,LEO,11/18/2017,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bufeng-1A,China,Government,Earth Observation,Meteorology,LEO,6/5/2019,Yellow Sea Launch Platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bufeng-1B,China,Government,Earth Observation,Meteorology,LEO,6/5/2019,Yellow Sea Launch Platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugsat-1,Argentina,Commercial,Technology Development,,LEO,6/19/2014,Dombarovsky Air Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BulgariaSat-1,Bulgaria,Commercial,Communications,,GEO,6/23/2017,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CACTUS-1,USA,Government/Civil,Technology Development,,LEO,1/17/2021,FANTM-RAiL [Xtenti],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calipso,France,Government,Earth Science,,LEO,4/28/2006,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanX-2,Canada,Government/Civil,Technology Development,,LEO,4/28/2008,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanX-4,Canada,Government/Civil,Technology Development,,LEO,6/30/2014,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanX-5,Canada,Government/Civil,Technology Development,,LEO,6/30/2014,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanX-7,Canada,Government/Civil,Technology Development,,LEO,9/26/2016,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPE-3,USA,Civil,Technology Development,,LEO,1/17/2021,FANTM-RAiL [Xtenti],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capella-8,USA,Commercial,Earth Observation,Radar Imaging (SAR),LEO,3/16/2023,Mid-Atlantic Regional Spaceport/Wallops Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capella-6,USA,Commercial,Earth Observation,Radar Imaging (SAR),LEO,5/6/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capella-7,USA,Commercial,Earth Observation,Radar Imaging (SAR),LEO,1/13/2022,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capella-8,USA,Commercial,Earth Observation,Radar Imaging (SAR),LEO,1/13/2022,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capella-9,USA,Commercial,Earth Observation,Radar Imaging (SAR),LEO,3/16/2023,Mid-Atlantic Regional Spaceport/Wallops Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CartoSat 1,India,Government,Earth Observation,Optical Imaging,LEO,5/5/2005,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CartoSat 2,India,Government,Earth Observation,Optical Imaging,LEO,1/10/2007,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CartoSat 2A,India,Military,Earth Observation,Optical Imaging,LEO,4/28/2008,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CartoSat 2B,India,Government,Earth Observation,Optical Imaging,LEO,7/12/2010,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CartoSat 2C,India,Government,Earth Observation,Optical Imaging,LEO,6/22/2016,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CartoSat 2D,India,Government,Earth Observation,Optical Imaging,LEO,2/15/2017,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CartoSat 2E,India,Government,Earth Observation,Optical Imaging,LEO,6/22/2017,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CartoSat 2F,India,Government,Earth Observation,Optical Imaging,LEO,1/11/2018,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CartoSat 3,India,Government,Earth Observation,Optical Imaging,LEO,11/27/2019,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAS500-1,South Korea,Government,Earth Observation,Multispectral Imaging,LEO,3/22/2021,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassiope,Canada,Government,Earth Science,,LEO,9/29/2013,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 283,USA,Military,Communications,,GEO,4/14/2018,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 342,USA,Military,Communications,,GEO,1/16/2023,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBERS 4,China/Brazil,Government,Earth Observation,Optical Imaging,LEO,12/7/2014,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBERS 4A,China/Brazil,Government,Earth Observation ,Optical Imaging,LEO,12/21/2019,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBNT-1,United Kingdom,Commercial,Technology Development,,LEO,7/10/2015,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBNT-2,United Kingdom,Commercial,Technology Development,,LEO,1/11/2018,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-SAT-1,Japan,Commercial,Technology Development,Optical Imaging,LEO,6/22/2017,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-SAT-2B,Japan,Commercial,Technology Demonstration,Optical Imaging,LEO,10/28/2020,Rocket Lab Launch Complex 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CELTEE-1,USA,Military,Technology Development,,LEO,11/11/2016,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centauri-1,Australia,Commercial,Communications,,LEO,11/29/2018,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centauri-2,Australia,Commercial,Technology Development,,LEO,12/3/2018,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centispace-1-S1,China,Commercial,Technology Development,,LEO,9/29/2018,Jiuquan Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CeReS,USA,Government,Space Science,,LEO,12/16/2018,Rocket Lab Launch Complex 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERES,France,Military,Earth Observation,Electronic Intelligence,LEO,11/16/2021,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERES,France,Military,Earth Observation,Electronic Intelligence,LEO,11/16/2021,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERES,France,Military,Earth Observation,Electronic Intelligence,LEO,11/16/2021,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cesium Satellite 1,USA,Military,Technology Development,,LEO,9/27/2021,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cesium Satellite 2,USA,Military,Technology Development,,LEO,9/27/2021,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFOSat,China/France,Government,Earth Observation,Meteorology,LEO,10/28/2018,Jiuquan Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Challenge One,Tunisia,Commercial,Technology Development,,LEO,3/22/2021,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandra X-Ray Observatory (CXO),USA,Government,Space Science,,Elliptical,7/23/1999,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Changshagaoxin ,China,Commercial,Technology Development,,LEO,10/29/2018,Jiuquan Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chao Fenbianlu,China,Government,Earth Observation ,Multispectral Imaging,LEO,12/21/2016,Jiuquan Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaohu-1,China,Commercial,Earth Observation,Radar Imaging,LEO,2/27/2022,Wenchang Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHASE,China,Government,Space Science,,LEO,10/14/2021,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDA-0A TPL York-01,USA,Military,Technology Demonstration,,LEO,4/2/2023,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDA-0A TPL York-02,USA,Military,Technology Demonstration,,LEO,4/2/2023,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDA-0A TPL York-03,USA,Military,Technology Demonstration,,LEO,4/2/2023,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDA-0A TPL York-04,USA,Military,Technology Demonstration,,LEO,4/2/2023,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDA-0A TPL York-05,USA,Military,Technology Demonstration,,LEO,4/2/2023,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDA-0A TPL York-06,USA,Military,Technology Demonstration,,LEO,4/2/2023,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDA-0A TPL York-07,USA,Military,Technology Demonstration,,LEO,4/2/2023,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDA-0A TPL York-08,USA,Military,Technology Demonstration,,LEO,4/2/2023,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEOPS,ESA,Government,Space Science,,LEO,12/18/2019,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chimera LEO-1,Argentina,Commercial,Technology Demonstration,,LEO,1/3/2023,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
